ER30001,ER30002,ER31996,ER31997,ER33401,ER33402,ER33403,Q1A33,Q1E12A,Q1F12A,Q1G11C,Q1K3A,Q1K3B,Q1K7,Q1K8,Q1K9,Q1K10,Q2A51,ER33601,ER33602,ER33603,Q21A19,Q21A20_2,Q21A23,Q21A24_2,Q21B11A1,Q21B12A1,Q21C7A_1,Q21C7A_2,Q21C7A_3,Q21C7A_4,Q21C7B_1,Q21C7B_2,Q21C7B_3,Q21C7B_4,Q21C10H,Q21C15A,Q21C15B,Q21C21A,Q21C21B,Q21C22H,Q21C27A,Q21C27B,Q21C28H,Q21C33A,Q21C33B,Q21C39A,Q21C39B,Q21G5D,Q21G10C,Q21G21A1,Q21G21A2,Q21H5C,Q21H8B,Q21H22B,Q21H22C,Q21H23A1,Q21H23B1,Q21H23C1,Q21H23D1,Q21H23E1,Q21H23F1,Q21H23G1,Q21H23H1,Q21H24J,Q21H24O,Q21H25J,Q21H25O,Q23L2,Q23L2A,Q23L4A5,ER33901,ER33902,ER33903,Q31B11A1,Q31B11A2,Q31B12A1,Q31B12A2,Q31C15A,Q31C15B,Q31C21A,Q31C21B,Q31C27A,Q31C27B,Q31C33A,Q31C33B,Q31C39A,Q31C39B,Q31H5C,Q31H8B,Q31H22B,Q31H22C,Q31H23A1,Q31H23B1,Q31H23C1,Q31H23D1,Q31H23E1,Q31H23F1,Q31H23G1,Q32JA34,Q33L2,Q33L2A,Q33L3F,Q33L3G,Q33L3H
311,33,25,1,1362,4,30,100,0,0,0,2,2,5,5,5,5,1000,2942,3,30,15,0,30,0,0,0,0,125,0,0,0,3,0,0,5,0,0,0,0,5,0,0,5,125,3,0,0,0,0,0,0,0,0,0,0,500,500,50,250,0,0,0,1700,5,5,0,0,,,,7355,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,50,500,0,0,0,0,0,0,10,0,5
311,173,25,1,1362,1,10,,,,,,,,,,,,3197,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,3,8,1,3267,1,10,,,,,,,,,,,,491,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8002,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,30,8,1,3267,3,30,0,0,0,970,3,3,0,0,0,0,100,491,3,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,30,0,0,1000,99998,75,500,0,0,0,99998,0,0,0,0,0,0,0,8002,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,170,8,1,3267,2,20,,,,,,,,,,,,491,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8002,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,3,19,1,2930,2,20,,,,,,,,,,,,2722,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,31,19,1,468,3,30,5,0,5,0,3,3,0,0,0,0,2500,892,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,600,0,300,900,1200,99999,0,99998,0,0,0,5,0,0,0,1927,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,32,19,1,2930,3,30,200,0,0,0,2,3,5,5,5,5,,2722,3,30,0,0,300,0,2900,2500,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,1,0,0,0,0,2000,2000,25,2000,0,0,0,2400,0,0,0,0,0,0,0,758,3,30,0,0,2500,6,0,0,0,0,0,0,0,0,0,0,0,0,10,2,600,3000,600,1000,0,0,0,100,10,9,3,0,7
319,171,19,1,468,1,10,,,,,,,,,,,,892,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,172,19,1,2930,1,10,,,,,,,,,,,,2722,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
